Level Name,Total Arrows,Total States,Solvable per State,Max Len,Min Len,Avg Len,Unused Points,Length Histogram,Solvable Ratio
21,38,15,"[11, 4, 2, 1, 1, 2, 3, 2, 1, 1, 1, 1, 2, 3, 3]",37,2,12.24,160,"{""37"": 3, ""34"": 1, ""22"": 1, ""17"": 2, ""31"": 1, ""26"": 1, ""21"": 1, ""12"": 3, ""13"": 1, ""23"": 1, ""14"": 1, ""10"": 4, ""9"": 1, ""5"": 3, ""6"": 1, ""2"": 9, ""3"": 4}",0.067
22,54,22,"[6, 3, 4, 2, 2, 1, 2, 1, 3, 3, 3, 5, 3, 2, 1, 2, 3, 2, 2, 2, 1, 1]",37,2,11.2,20,"{""37"": 5, ""34"": 1, ""16"": 2, ""30"": 1, ""15"": 1, ""24"": 2, ""12"": 6, ""26"": 1, ""14"": 2, ""13"": 1, ""18"": 1, ""10"": 1, ""7"": 4, ""5"": 1, ""2"": 18, ""4"": 4, ""3"": 3}",0.045
23,73,24,"[6, 3, 4, 6, 6, 7, 5, 2, 4, 2, 2, 2, 3, 5, 1, 2, 2, 1, 1, 2, 2, 3, 1, 1]",37,2,12.33,45,"{""32"": 2, ""13"": 3, ""37"": 6, ""14"": 2, ""17"": 1, ""18"": 3, ""28"": 2, ""26"": 1, ""30"": 1, ""22"": 1, ""33"": 1, ""20"": 1, ""16"": 1, ""24"": 1, ""21"": 1, ""12"": 6, ""11"": 1, ""10"": 1, ""9"": 2, ""8"": 3, ""7"": 2, ""5"": 5, ""2"": 24, ""3"": 2}",0.042
24,50,16,"[7, 4, 4, 4, 5, 3, 1, 2, 2, 1, 2, 4, 3, 2, 3, 3]",37,2,10.6,199,"{""14"": 2, ""20"": 1, ""28"": 1, ""37"": 2, ""15"": 3, ""30"": 1, ""21"": 2, ""13"": 2, ""25"": 1, ""22"": 1, ""19"": 3, ""12"": 3, ""8"": 1, ""7"": 5, ""5"": 1, ""3"": 5, ""2"": 15, ""4"": 1}",0.062
25,35,16,"[7, 4, 4, 3, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2]",37,2,9.54,241,"{""22"": 2, ""37"": 1, ""12"": 4, ""16"": 1, ""13"": 4, ""28"": 1, ""23"": 1, ""10"": 1, ""7"": 4, ""8"": 1, ""5"": 1, ""6"": 1, ""2"": 11, ""3"": 1, ""4"": 1}",0.062
26,47,17,"[7, 2, 2, 3, 2, 2, 4, 3, 3, 2, 2, 3, 2, 2, 3, 3, 2]",37,2,12.72,27,"{""15"": 2, ""37"": 6, ""13"": 3, ""16"": 2, ""18"": 2, ""19"": 2, ""24"": 1, ""14"": 3, ""20"": 1, ""12"": 2, ""11"": 1, ""7"": 1, ""5"": 5, ""6"": 2, ""2"": 9, ""3"": 2, ""4"": 3}",0.059
27,70,25,"[10, 6, 7, 4, 2, 3, 2, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 4, 3, 2, 3, 2, 2, 2]",37,2,12.67,58,"{""37"": 5, ""18"": 1, ""32"": 1, ""36"": 2, ""24"": 2, ""15"": 1, ""25"": 2, ""22"": 1, ""23"": 2, ""16"": 3, ""20"": 4, ""14"": 1, ""21"": 1, ""12"": 5, ""13"": 1, ""10"": 5, ""11"": 1, ""7"": 1, ""9"": 1, ""8"": 2, ""5"": 3, ""2"": 20, ""3"": 5}",0.04
28,46,15,"[9, 6, 5, 5, 3, 2, 1, 1, 1, 3, 2, 2, 3, 2, 1]",37,2,11.41,204,"{""37"": 4, ""15"": 3, ""18"": 2, ""13"": 2, ""26"": 1, ""12"": 5, ""17"": 1, ""24"": 1, ""27"": 1, ""22"": 1, ""11"": 1, ""10"": 1, ""8"": 1, ""7"": 1, ""5"": 1, ""6"": 2, ""2"": 14, ""3"": 3, ""4"": 1}",0.067
29,47,19,"[8, 3, 1, 1, 1, 1, 1, 1, 4, 4, 3, 2, 5, 2, 2, 2, 2, 2, 2]",37,2,12.98,231,"{""27"": 4, ""37"": 3, ""13"": 1, ""30"": 1, ""36"": 1, ""33"": 1, ""25"": 2, ""24"": 1, ""14"": 4, ""12"": 3, ""19"": 1, ""10"": 2, ""8"": 1, ""6"": 2, ""5"": 3, ""2"": 13, ""3"": 3, ""4"": 1}",0.053
30,28,11,"[5, 4, 2, 3, 1, 2, 3, 3, 3, 1, 1]",37,2,9.32,291,"{""37"": 2, ""28"": 1, ""27"": 1, ""12"": 1, ""14"": 2, ""13"": 2, ""10"": 1, ""5"": 4, ""6"": 1, ""3"": 2, ""2"": 10, ""4"": 1}",0.091
31,67,25,"[5, 5, 5, 4, 4, 3, 5, 1, 1, 2, 2, 3, 2, 5, 3, 3, 2, 4, 2, 1, 1, 1, 1, 1, 1]",37,2,13.64,31,"{""37"": 7, ""21"": 1, ""14"": 1, ""33"": 1, ""17"": 2, ""23"": 2, ""32"": 2, ""18"": 1, ""12"": 5, ""26"": 1, ""31"": 1, ""29"": 1, ""27"": 1, ""20"": 1, ""13"": 4, ""10"": 3, ""11"": 1, ""8"": 2, ""7"": 5, ""5"": 9, ""6"": 1, ""3"": 3, ""4"": 2, ""2"": 10}",0.04
32,52,17,"[10, 6, 6, 3, 3, 4, 1, 2, 2, 2, 1, 1, 1, 4, 2, 3, 1]",37,2,11.21,201,"{""37"": 5, ""22"": 1, ""36"": 1, ""21"": 1, ""18"": 1, ""13"": 2, ""29"": 1, ""19"": 1, ""12"": 4, ""14"": 2, ""33"": 1, ""10"": 1, ""8"": 2, ""9"": 1, ""7"": 1, ""5"": 3, ""6"": 1, ""2"": 15, ""3"": 7, ""4"": 1}",0.059
33,90,38,"[8, 3, 2, 3, 3, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 4, 5, 4, 5, 2, 2, 2, 2, 1, 2, 2, 2, 3, 6, 3, 2, 1, 1, 1, 1]",37,2,12.74,53,"{""20"": 3, ""16"": 4, ""37"": 9, ""12"": 6, ""33"": 1, ""25"": 3, ""27"": 2, ""17"": 2, ""26"": 1, ""15"": 2, ""13"": 4, ""30"": 1, ""21"": 2, ""14"": 3, ""18"": 1, ""19"": 1, ""8"": 2, ""7"": 3, ""9"": 1, ""6"": 3, ""5"": 4, ""3"": 3, ""4"": 6, ""2"": 23}",0.026
