level,start,Start Level %,Complete Level %,Win Rate %,During Level %,Between Level %,fail rate %,churn rate %
1,4936,0.9490482599500096,0.9475100942126514,0.9983792544570502,-0.0015381657373582003,null,0,0.0016207455429497752
2,4717,0.9069409728898289,0.9065564314554894,0.9995760016959933,-0.0003845414343395501,-0.04203899268887084,0,0.0004239983040067452
3,4574,0.8794462603345511,0.8798308017688906,1.0004372540445998,0.0003845414343395501,-0.028874734607218684,0.00324956672443677,-0.00043725404459982187
4,4490,0.8632955200922899,0.8623341665064411,0.9988864142538976,-0.0009613535858488752,-0.018793706293706292,0.002854633289415931,0.00111358574610243
5,4354,0.8371467025572006,0.835031724668333,0.9974735875057419,-0.0021149778888675257,-0.028775373633727414,0.012011356191308109,0.0025264124942581123
6,4014,0.771774658719477,0.7698519515477793,0.9975087194818136,-0.0019227071716977505,-0.07554122524182405,0.009849790691947802,0.0024912805181863673
7,3917,0.7531243991540089,0.7521630455681599,0.9987235128925198,-0.0009613535858488752,-0.021483887084686484,0.00529233870967738,0.0012764871074801842
8,3799,0.7304364545279753,0.7300519130936358,0.9994735456699131,-0.0003845414343395501,-0.028388746803069055,0,0.0005264543300869118
9,3553,0.6831378581042107,0.6829455873870409,0.9997185477061638,-0.00019227071716977504,-0.06401475237091675,0.0002789400278939702,0.0002814522938362485
10,3444,0.6621803499327052,0.6592962891751586,0.9956445993031359,-0.0028840607575466256,-0.030405405405405407,0.010907003444316832,0.004355400696864131
11,2904,0.5583541626610268,0.5548932897519707,0.993801652892562,-0.003460872909055951,-0.15186915887850466,0.01608579088471851,0.006198347107438051
12,2676,0.5145164391463181,0.5145164391463181,1,0,-0.07244367417677643,0.0007407407407407085,0
13,2563,0.4927898481061334,0.4866371851567006,0.9875146312914553,-0.006152662949432801,-0.04258498319013822,0.06320377769705776,0.012485368708544664
14,2347,0.451259373197462,0.4501057488944434,0.9974435449510013,-0.0011536243030186503,-0.07269853812722245,0.02271788517141682,0.002556455048998707
15,2189,0.42088059988463755,0.41876562199577005,0.9949748743718593,-0.0021149778888675257,-0.06412997007268063,0.02985074626865669,0.005025125628140725
16,2066,0.3972313016727552,0.39665448952124593,0.9985479186834463,-0.0005768121515093252,-0.051423324150596875,0.0009601536245799069,0.0014520813165537216
17,1987,0.382041915016343,0.3814651028648337,0.9984901862103673,-0.0005768121515093252,-0.036372453928225024,0.0015015015015015232,0.0015098137896326635
18,1915,0.3681984233801192,0.3681984233801192,1,0,-0.03477822580645161,0.002075765438505406,0
19,1859,0.3574312632186118,0.35723899250144203,0.9994620763851533,-0.00019227071716977504,-0.029242819843342035,0.003711558854718966,0.0005379236148467248
20,1786,0.34339550086521825,0.34301095943087867,0.9988801791713325,-0.0003845414343395501,-0.038751345532831,0.016630901287553623,0.0011198208286674616
21,1713,0.32935973851182465,0.3287829263603153,0.9982486865148862,-0.0005768121515093252,-0.0397982062780269,0.013142857142857123,0.0017513134851138146
22,1636,0.31455489328975195,0.3141703518554124,0.9987775061124694,-0.0003845414343395501,-0.04159343878148799,0.0060240963855421326,0.0012224938875305957
23,1584,0.3045568159969237,0.3041722745625841,0.9987373737373737,-0.0003845414343395501,-0.029411764705882353,0.007448789571694592,0.0012626262626262985
24,1536,0.2953278215727745,0.29513555085560467,0.9993489583333334,-0.00019227071716977504,-0.028462998102466792,0.01715374841168993,0.0006510416666666297
25,1496,0.2876369928859835,0.2859065564314555,0.9939839572192514,-0.0017304364545279755,-0.024771838331160364,0.06927710843373491,0.006016042780748632
26,1435,0.2759084791386272,0.2759084791386272,1,0,-0.03236682400539447,0.004126547455295726,0
27,1403,0.26975581618919436,0.2695635454720246,0.9992872416250891,-0.00019227071716977504,-0.02229965156794425,0.0007072135785006761,0.0007127583749109156
28,1373,0.26398769467410116,0.2634108825225918,0.9978150036416606,-0.0005768121515093252,-0.020684736091298145,0.015032211882605617,0.002184996358339353
29,1347,0.258988656027687,0.25841184387617766,0.9977728285077951,-0.0005768121515093252,-0.016788321167883213,0.00293040293040292,0.00222717149220486
30,1312,0.2522591809267449,0.2522591809267449,1,0,-0.023809523809523808,0.005997001499250421,0
31,1259,0.24206883291674677,0.24206883291674677,1,0,-0.03966437833714721,0.0031225604996096834,0
32,1226,0.2357238992501442,0.23553162853297444,0.9991843393148451,-0.00019227071716977504,-0.026211278792692614,0.014411529223378738,0.0008156606851549286
33,1193,0.22937896558354162,0.22937896558354162,1,0,-0.025326797385620915,0.0024711696869851307,0
34,1168,0.22457219765429726,0.22457219765429726,1,0,-0.020955574182732608,0.011744966442952975,0
35,1155,0.22207267833109018,0.22207267833109018,1,0,-0.01113013698630137,0.0076857386848847575,0
36,1131,0.21745818111901558,0.21765045183618534,1.0008841732979663,0.00019227071716977504,-0.02077922077922078,0.0077989601386482255,-0.0008841732979663064
37,1104,0.21226687175543166,0.211113247452413,0.9945652173913043,-0.0011536243030186503,-0.023008849557522124,0.02979842243645925,0.005434782608695676
38,1063,0.20438377235147087,0.20399923091713132,0.9981185324553151,-0.0003845414343395501,-0.03099361896080219,0.00554528650646946,0.0018814675446848783
39,1034,0.1988079215535474,0.1988079215535474,1,0,-0.02544769085768143,0.005671077504725952,0
40,1016,0.19534704864449146,0.19515477792732167,0.9990157480314961,-0.00019227071716977504,-0.017408123791102514,0.06284153005464477,0.0009842519685039353
41,977,0.18784849067487022,0.18765621995770043,0.9989764585465711,-0.00019227071716977504,-0.03648915187376726,0.0030364372469635637,0.0010235414534288667
