level,sim_win_rate,feed_win_rate,wr_diff_pp,sim_attempts,feed_attempts,att_diff
1,1.0,0.9984,0.16,1,1.0208,-0.0208
2,1.0,0.9996,0.04,1,1.0131,-0.0131
3,1.0,1.0004,-0.04,1,1.0085,-0.0085
4,1.0,0.9989,0.11,1,1.0154,-0.0154
5,1.0,0.9975,0.25,1,1.0547,-0.0547
6,1.0,0.9975,0.25,1,1.0147,-0.0147
7,1.0,0.9987,0.13,1,1.0148,-0.0148
8,1.0,0.9995,0.05,1,1.0068,-0.0068
9,1.0,0.9997,0.03,1,1.0101,-0.0101
10,1.0,0.9956,0.44,1,1.0157,-0.0157
11,1.0,0.9938,0.62,1,1.0337,-0.0337
12,1.0,1.0,0.0,1,1.0086,-0.0086
13,1.0,0.9875,1.25,1,1.0861,-0.0861
14,1.0,0.9974,0.26,1,1.0366,-0.0366
15,1.0,0.995,0.5,1,1.0466,-0.0466
16,1.0,0.9985,0.15,1,1.0092,-0.0092
17,1.0,0.9985,0.15,1,1.0065,-0.0065
18,1.0,1.0,0.0,1,1.0063,-0.0063
19,1.0,0.9995,0.05,1,1.0151,-0.0151
20,1.0,0.9989,0.11,1,1.0459,-0.0459
21,1.0,0.9982,0.18,1,1.0228,-0.0228
22,1.0,0.9988,0.12,1,1.0165,-0.0165
23,1.0,0.9987,0.13,1,1.0177,-0.0177
24,1.0,0.9993,0.07,1,1.026,-0.026
25,1.0,0.994,0.6,1,1.1148,-0.1148
26,1.0,1.0,0.0,1,1.0125,-0.0125
27,1.0,0.9993,0.07,1,1.0086,-0.0086
28,1.0,0.9978,0.22,1,1.0211,-0.0211
29,1.0,0.9978,0.22,1,1.0163,-0.0163
30,1.0,1.0,0.0,1,1.0168,-0.0168
