level,board,arrows,difficulty,sim_avg_min,feed_avg_min,ratio,sim_med_min,feed_med_min
1,9x9,2,0.168,0.102,0.421,0.2423,,
2,9x9,3,0.417,0.13,0.385,0.3377,,
3,10x11,6,0.57,0.229,0.516,0.4438,,
4,10x11,8,0.507,0.298,0.485,0.6144,,
5,20x18,18,0.56,0.715,1.23,0.5813,,
6,15x20,23,0.579,0.925,0.867,1.0669,,
7,17x18,18,0.555,0.748,1.103,0.6782,,
8,10x15,15,0.522,0.597,0.489,1.2209,,
9,20x14,13,0.486,0.444,0.497,0.8934,,
10,20x14,20,0.611,0.824,0.961,0.8574,,
11,20x20,31,0.74,1.624,1.518,1.0698,,
12,19x19,16,0.581,0.587,0.521,1.1267,,
13,30x28,56,0.793,3.771,3.057,1.2336,,
14,26x30,34,0.617,1.647,1.479,1.1136,,
15,16x30,31,0.629,1.45,1.638,0.8852,,
16,20x20,19,0.583,0.701,0.803,0.873,,
17,26x12,16,0.426,0.532,0.758,0.7018,,
18,20x19,34,0.584,1.488,0.823,1.808,,
19,20x20,28,0.678,1.347,1.028,1.3103,,
20,16x29,30,0.662,1.3,1.522,0.8541,,
21,23x30,36,0.656,1.626,1.428,1.1387,,
22,30x22,35,0.673,1.704,1.543,1.1043,,
23,20x20,31,0.824,1.662,0.962,1.7277,,
24,20x20,28,0.679,1.311,1.448,0.9054,,
25,25x30,40,0.75,2.173,2.013,1.0795,,
26,20x19,27,0.586,1.155,0.797,1.4492,,
27,17x30,25,0.592,0.931,0.738,1.2615,,
28,19x30,28,0.617,1.304,1.061,1.229,,
29,20x20,29,0.67,1.393,1.092,1.2756,,
30,13x30,26,0.669,1.172,0.749,1.5648,,
